gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,result,averages,math score_log,reading score_log,writing score_log,averages_log
female,Group C,associate's degree,standard,none,67.58453608247423,86.0,84.0,Pass,79.19484536082474,4.228067087782309,4.465908118654584,4.442651256490317,4.384459240497997
female,Group B,some college,free/reduced,completed,67.58453608247423,66.0,73.0,Pass,68.86151202749141,4.228067087782309,4.204692619390966,4.30406509320417,4.24651488282456
male,Group D,bachelor's degree,standard,none,67.58453608247423,73.0,72.0,Pass,70.86151202749141,4.228067087782309,4.30406509320417,4.290459441148391,4.274740822759463
male,Group C,some college,free/reduced,none,67.58453608247423,77.0,73.0,Pass,72.52817869415809,4.228067087782309,4.356708826689592,4.30406509320417,4.297668716340067
male,Group E,some college,standard,completed,67.58453608247423,83.0,78.0,Pass,76.19484536082474,4.228067087782309,4.430816798843313,4.3694478524670215,4.346332684864016
male,Group D,associate's degree,free/reduced,none,67.58453608247423,75.0,78.0,Pass,73.52817869415809,4.228067087782309,4.330733340286331,4.3694478524670215,4.311177291377218
male,Group B,associate's degree,free/reduced,completed,67.58453608247423,70.0,63.0,Pass,66.86151202749141,4.228067087782309,4.2626798770413155,4.1588830833596715,4.217469040680082
female,Group B,some high school,standard,completed,67.58453608247423,61.0,62.0,Pass,63.52817869415808,4.228067087782309,4.127134385045092,4.143134726391533,4.167102007377086
male,Group C,associate's degree,free/reduced,none,67.58453608247423,73.0,72.0,Pass,70.86151202749141,4.228067087782309,4.30406509320417,4.290459441148391,4.274740822759463
male,Group B,some high school,standard,completed,67.58453608247423,54.0,41.0,Pass,54.19484536082475,4.228067087782309,4.007333185232471,3.7376696182833684,4.01086956777828
male,Group A,high school,free/reduced,none,67.58453608247423,47.0,49.0,Pass,54.52817869415808,4.228067087782309,3.871201010907891,3.912023005428146,4.016890616123123
male,Group E,some high school,standard,none,67.58453608247423,31.5,28.0,Fail,38.52817869415808,4.228067087782309,3.481240089335692,3.367295829986474,3.6770138022314214
female,Group B,high school,free/reduced,completed,67.58453608247423,80.0,81.0,Pass,76.19484536082474,4.228067087782309,4.394449154672439,4.406719247264253,4.346332684864016
female,Group D,some college,free/reduced,none,67.58453608247423,65.0,61.0,Pass,64.52817869415809,4.228067087782309,4.189654742026425,4.127134385045092,4.182480259198932
male,Group D,some college,standard,completed,67.58453608247423,81.0,67.99896907216495,Pass,72.19450171821306,4.228067087782309,4.406719247264253,4.234091563502525,4.293120305006967
female,Group D,some high school,standard,completed,67.58453608247423,78.0,82.0,Pass,75.86151202749141,4.228067087782309,4.3694478524670215,4.418840607796598,4.342005257432026
male,Group D,high school,standard,none,67.58453608247423,52.0,42.0,Pass,53.861512027491415,4.228067087782309,3.970291913552122,3.7612001156935624,4.0048120466952914
male,Group D,bachelor's degree,free/reduced,none,67.58453608247423,46.0,44.0,Pass,52.52817869415808,4.228067087782309,3.8501476017100584,3.8066624897703196,3.980208219805501
female,Group D,some high school,standard,none,67.58453608247423,58.0,54.0,Pass,59.861512027491415,4.228067087782309,4.07753744390572,4.007333185232471,4.108600988515967
female,Group D,associate's degree,free/reduced,none,67.58453608247423,65.0,63.0,Pass,65.19484536082474,4.228067087782309,4.189654742026425,4.1588830833596715,4.192602595271245
male,Group C,master's degree,standard,none,67.58453608247423,72.0,69.0,Pass,69.52817869415809,4.228067087782309,4.290459441148391,4.248495242049359,4.256012327749817
